disease_norm_id	disease_name	disease_norm_name	data_source
MESH:D000236	"adenoma-to-carcinoma of the colorectal tract"	Adenoma	MESH
MESH:D000236	"adenomas and carcinomas"	Adenoma	MESH
MESH:D000236	"follicular adenomas,"	Adenoma	MESH
MESH:D000303	"dysplasic cortex"	"Adrenal Cortex Diseases"	MESH
MESH:D000782	aneuploidy	Aneuploidy	MESH
MESH:D000796	hyperplastic	"Angiolymphoid Hyperplasia with Eosinophilia"	MESH
MESH:D000796	"hyperplastic or neoplastic"	"Angiolymphoid Hyperplasia with Eosinophilia"	MESH
MESH:D001015	"aortic arch abnormalities."	"Aortic Arch Syndromes"	MESH
MESH:D001015	"aortic arch anomalies"	"Aortic Arch Syndromes"	MESH
MESH:D001254	"grade I invasive carcinomas,"	Astrocytoma	MESH
MESH:D001254	"grade III carcinomas,"	Astrocytoma	MESH
MESH:D001259	ataxia	Ataxia	MESH
MESH:D001289	"attention deficit hyperactivity disorder."	"Attention Deficit Disorder with Hyperactivity"	MESH
MESH:D001321	autism	"Autistic Disorder"	MESH
MESH:D001321	autism.	"Autistic Disorder"	MESH
MESH:D001321	"Childhood Autism"	"Autistic Disorder"	MESH
MESH:D001523	"psychiatric illnesses,"	"Mental Disorders"	MESH
MESH:D001528	BD	"Behcet Syndrome"	MESH
MESH:D001528	BD2	"Behcet Syndrome"	MESH
MESH:D001714	"bipolar disorder"	"Bipolar Disorder"	MESH
MESH:D001714	"bipolar disorder,"	"Bipolar Disorder"	MESH
MESH:D001714	"bipolar disorder."	"Bipolar Disorder"	MESH
MESH:D001749	"bladder cancer"	"Urinary Bladder Neoplasms"	MESH
MESH:D001749	"bladder cancer,"	"Urinary Bladder Neoplasms"	MESH
MESH:D001749	"bladder cancer."	"Urinary Bladder Neoplasms"	MESH
MESH:D001749	"Egyptian bladder cancer"	"Urinary Bladder Neoplasms"	MESH
MESH:D001752	"myeloid blast crisis."	"Blast Crisis"	MESH
MESH:D001926	"brain death."	"Brain Death"	MESH
MESH:D001943	"breast and non-breast cancer"	"Breast Neoplasms"	MESH
MESH:D001943	"breast cancer"	"Breast Neoplasms"	MESH
MESH:D001943	"breast cancer,"	"Breast Neoplasms"	MESH
MESH:D001943	"breast cancer."	"Breast Neoplasms"	MESH
MESH:D001943	"breast cancers"	"Breast Neoplasms"	MESH
MESH:D001943	"breast cancers,"	"Breast Neoplasms"	MESH
MESH:D001943	"breast cancers."	"Breast Neoplasms"	MESH
MESH:D001943	"breast carcinoma"	"Breast Neoplasms"	MESH
MESH:D001943	"breast tumors"	"Breast Neoplasms"	MESH
MESH:D001943	"breast tumors."	"Breast Neoplasms"	MESH
MESH:D001943	"invasive breast carcinoma"	"Breast Neoplasms"	MESH
MESH:D001943	"invasive breast carcinoma."	"Breast Neoplasms"	MESH
MESH:D001943	"invasive breast carcinomas"	"Breast Neoplasms"	MESH
MESH:D001943	"invasive breast carcinomas."	"Breast Neoplasms"	MESH
MESH:D001943	"non-breast cancer"	"Breast Neoplasms"	MESH
MESH:D001943	"non-breast cancers"	"Breast Neoplasms"	MESH
MESH:D001943	"non-breast cancers."	"Breast Neoplasms"	MESH
MESH:D001943	"pancreas and breast cancer,"	"Breast Neoplasms"	MESH
MESH:D001984	"bronchial tumors."	"Bronchial Neoplasms"	MESH
MESH:D002051	"Burkitt lymphoma"	"Burkitt Lymphoma"	MESH
MESH:D002051	"Burkitt's lymphoma"	"Burkitt Lymphoma"	MESH
MESH:D002051	"Burkitt's lymphoma."	"Burkitt Lymphoma"	MESH
MESH:D002277	carcinoma	Carcinoma	MESH
MESH:D002291	"papillary carcinomas."	"Carcinoma, Papillary"	MESH
MESH:D002292	"renal anomalies"	"Carcinoma, Renal Cell"	MESH
MESH:D002292	"renal anomaly,"	"Carcinoma, Renal Cell"	MESH
MESH:D002294	"cutaneous squamous cell carcinomas."	"Carcinoma, Squamous Cell"	MESH
MESH:D002294	"oral squamous cell carcinoma"	"Carcinoma, Squamous Cell"	MESH
MESH:D002294	"squamous cell carcinoma"	"Carcinoma, Squamous Cell"	MESH
MESH:D002318	"cardiovascular defect,"	"Cardiovascular Diseases"	MESH
MESH:D002318	"cardiovascular function"	"Cardiovascular Diseases"	MESH
MESH:D002318	"cardiovascular function."	"Cardiovascular Diseases"	MESH
MESH:D002386	cataract	Cataract	MESH
MESH:D002446	CD	"Celiac Disease"	MESH
MESH:D002446	CD)	"Celiac Disease"	MESH
MESH:D002446	CD,	"Celiac Disease"	MESH
MESH:D002471	"colon tumorigenesis"	"Cell Transformation, Neoplastic"	MESH
MESH:D002471	"neoplastic transformation"	"Cell Transformation, Neoplastic"	MESH
MESH:D002583	"cervical carcinoma,"	"Uterine Cervical Neoplasms"	MESH
MESH:D002583	"cervical tumor"	"Uterine Cervical Neoplasms"	MESH
MESH:D002658	"developmental delay."	"Developmental Disabilities"	MESH
MESH:D002690	"Chlamydia pneumoniae"	"Chlamydia Infections"	MESH
MESH:D002690	"Chlamydia trachomatis MoPn and Chlamydia pneumoniae"	"Chlamydia Infections"	MESH
MESH:D002690	"Chlamydia trachomatis mouse pneumonitis"	"Chlamydia Infections"	MESH
MESH:D002833	"choroidal endothelial"	Choroiditis	MESH
MESH:D002833	"choroidal neovascularisation"	Choroiditis	MESH
MESH:D002833	"choroidal retinal anastomosis"	Choroiditis	MESH
MESH:D002833	"choroidal retinal anastomosis,"	Choroiditis	MESH
MESH:D002833	"myopic choroidal neovascularisation"	Choroiditis	MESH
MESH:D002833	"myopic choroidal neovascularisation."	Choroiditis	MESH
MESH:D002869	"Chromosomal aberrations"	"Chromosome Aberrations"	MESH
MESH:D002869	"chromosomal aberrations,"	"Chromosome Aberrations"	MESH
MESH:D002869	"chromosomal aberrations."	"Chromosome Aberrations"	MESH
MESH:D002869	"chromosomal abnormalities"	"Chromosome Aberrations"	MESH
MESH:D002869	"chromosomal abnormalities,"	"Chromosome Aberrations"	MESH
MESH:D002869	"chromosomal abnormalities."	"Chromosome Aberrations"	MESH
MESH:D002869	"chromosome abnormalities"	"Chromosome Aberrations"	MESH
MESH:D002869	"Chromosome anomalies"	"Chromosome Aberrations"	MESH
MESH:D002869	"Copy Number Aberration"	"Chromosome Aberrations"	MESH
MESH:D002869	"numerous chromosomal aberrations"	"Chromosome Aberrations"	MESH
MESH:D002869	"Several chromosomal aberrations,"	"Chromosome Aberrations"	MESH
MESH:D003093	"Ulcerative colitis"	"Colitis, Ulcerative"	MESH
MESH:D003316	"corneal nevovascularization"	"Corneal Diseases"	MESH
MESH:D003324	"atherosclerosis and coronary artery disease"	"Coronary Artery Disease"	MESH
MESH:D003324	"coronary artery disease"	"Coronary Artery Disease"	MESH
MESH:D003333	CVS)	"Coronaviridae Infections"	MESH
MESH:D003389	"Cranial nerve palsy"	"Cranial Nerve Diseases"	MESH
MESH:D003398	trigonocephaly	Craniosynostoses	MESH
MESH:D003398	trigonocephaly,	Craniosynostoses	MESH
MESH:D003398	"type II trigonocephaly"	Craniosynostoses	MESH
MESH:D003424	"Crohn's disease)"	"Crohn Disease"	MESH
MESH:D003456	cryptorchidism	Cryptorchidism	MESH
MESH:D003456	cryptorchidism,	Cryptorchidism	MESH
MESH:D003456	"unilateral cryptorchidism,"	Cryptorchidism	MESH
MESH:D003528	"Adenoid cystic carcinoma"	"Carcinoma, Adenoid Cystic"	MESH
MESH:D003528	"salivary adenoid cystic carcinoma."	"Carcinoma, Adenoid Cystic"	MESH
MESH:D003550	CF)	"Cystic Fibrosis"	MESH
MESH:D003550	"cystic fibrosis"	"Cystic Fibrosis"	MESH
MESH:D003638	"bilateral testiculopathy"	Deafness	MESH
MESH:D003638	"bilateral testiculopathy."	Deafness	MESH
MESH:D003699	"hepatitis D"	"Hepatitis D"	MESH
MESH:D003919	"Central diabetes insipidus"	"Diabetes Insipidus"	MESH
MESH:D003920	diabetes	"Diabetes Mellitus"	MESH
MESH:D003930	"Diabetic Retinopathy"	"Diabetic Retinopathy"	MESH
MESH:D004062	DGS	"DiGeorge Syndrome"	MESH
MESH:D004062	DGS)	"DiGeorge Syndrome"	MESH
MESH:D004062	DGS,	"DiGeorge Syndrome"	MESH
MESH:D004421	dystonia	Dystonia	MESH
MESH:D004421	dystonia,	Dystonia	MESH
MESH:D004487	"intraretinal edema,"	Edema	MESH
MESH:D004696	endocarditis	Endocarditis	MESH
MESH:D004701	"endocrine neoplasm"	"Endocrine Gland Neoplasms"	MESH
MESH:D004806	ependymoma	Ependymoma	MESH
MESH:D004806	ependymoma)	Ependymoma	MESH
MESH:D004806	ependymomas	Ependymoma	MESH
MESH:D004806	ependymomas,	Ependymoma	MESH
MESH:D004806	ependymomas.	Ependymoma	MESH
MESH:D004806	"pediatric ependymomas"	Ependymoma	MESH
MESH:D004806	"pediatric ependymomas."	Ependymoma	MESH
MESH:D004814	"epidermal hyperplastic"	"Epidermal Cyst"	MESH
MESH:D005124	"intrachromosome anomalies"	"Eye Abnormalities"	MESH
MESH:D005141	"eyelid malformation"	"Eyelid Diseases"	MESH
MESH:D005871	"Castleman's disease"	"Giant Lymph Node Hyperplasia"	MESH
MESH:D005871	"Castleman's disease:"	"Giant Lymph Node Hyperplasia"	MESH
MESH:D005910	glioma	Glioma	MESH
MESH:D005910	gliomas	Glioma	MESH
MESH:D005910	gliomas,	Glioma	MESH
MESH:D005910	gliomas:	Glioma	MESH
MESH:D005910	"Malignant human glioma"	Glioma	MESH
MESH:D006009	AMD	"Glycogen Storage Disease Type II"	MESH
MESH:D006009	AMD)	"Glycogen Storage Disease Type II"	MESH
MESH:D006009	AMD,	"Glycogen Storage Disease Type II"	MESH
MESH:D006009	AMD.	"Glycogen Storage Disease Type II"	MESH
MESH:D006009	"neovascular AMD"	"Glycogen Storage Disease Type II"	MESH
MESH:D006009	"neovascular AMD."	"Glycogen Storage Disease Type II"	MESH
MESH:D006009	"unilateral AMD."	"Glycogen Storage Disease Type II"	MESH
MESH:D006130	"short stature,"	"Growth Disorders"	MESH
MESH:D006130	"vascular endothelial growth"	"Growth Disorders"	MESH
MESH:D006210	HSS	"Hallermann's Syndrome"	MESH
MESH:D006210	HSS)	"Hallermann's Syndrome"	MESH
MESH:D006331	"congenital heart diseases"	"Heart Diseases"	MESH
MESH:D006332	"cardiac hypertrophy"	Cardiomegaly	MESH
MESH:D006332	"cardiac hypertrophy."	Cardiomegaly	MESH
MESH:D006333	"heart failure"	"Heart Failure"	MESH
MESH:D006345	"ventricular septal defects."	"Heart Septal Defects, Ventricular"	MESH
MESH:D006402	"hematologic disorders."	"Hematologic Diseases"	MESH
MESH:D006402	"hematological disorders."	"Hematologic Diseases"	MESH
MESH:D006509	HBV	"Hepatitis B"	MESH
MESH:D006509	"HBV seropositivity"	"Hepatitis B"	MESH
MESH:D006509	HBV)	"Hepatitis B"	MESH
MESH:D006509	HBV-	"Hepatitis B"	MESH
MESH:D006509	"hepatitis B virus"	"Hepatitis B"	MESH
MESH:D006526	"HCV seropositivity."	"Hepatitis C"	MESH
MESH:D006526	"hepatitis C virus"	"Hepatitis C"	MESH
MESH:D006528	"liver cancer"	"Carcinoma, Hepatocellular"	MESH
MESH:D006627	"Hirschsprung disease"	"Hirschsprung Disease"	MESH
MESH:D006627	"Hirschsprung disease."	"Hirschsprung Disease"	MESH
MESH:D006679	"HIV seropositivity"	"HIV Seropositivity"	MESH
MESH:D006679	"HIV seropositivity."	"HIV Seropositivity"	MESH
MESH:D006679	HIV-positive	"HIV Seropositivity"	MESH
MESH:D006689	"Hodgkin's disease,"	"Hodgkin Disease"	MESH
MESH:D006849	"aqueductal stenosis"	Hydrocephalus	MESH
MESH:D006849	hydrocephalus	Hydrocephalus	MESH
MESH:D006943	hyperglycemia	Hyperglycemia	MESH
MESH:D006943	hyperglycemia,	Hyperglycemia	MESH
MESH:D006943	hyperglycemia.	Hyperglycemia	MESH
MESH:D007027	"hypothalamic dysfunction"	"Hypothalamic Diseases"	MESH
MESH:D007119	"angioimmunoblastic lymphadenopathy"	"Immunoblastic Lymphadenopathy"	MESH
MESH:D007153	"immunodeficiency virus"	"Immunologic Deficiency Syndromes"	MESH
MESH:D007239	"Chronic infection"	Infection	MESH
MESH:D007246	"idiopathic infertility."	Infertility	MESH
MESH:D007246	infertility	Infertility	MESH
MESH:D007246	"Infertility Committee"	Infertility	MESH
MESH:D007246	"Infertility Committee,"	Infertility	MESH
MESH:D007246	infertility,	Infertility	MESH
MESH:D007248	"male infertility."	"Infertility, Male"	MESH
MESH:D007248	"male-factor infertility"	"Infertility, Male"	MESH
MESH:D007249	"chronic inflammation."	Inflammation	MESH
MESH:D007249	inflammation	Inflammation	MESH
MESH:D007249	inflammation,	Inflammation	MESH
MESH:D007642	"lymphomatoid keratosis"	Keratosis	MESH
MESH:D007642	"lymphomatoid keratosis."	Keratosis	MESH
MESH:D007642	"Lymphomatoid keratosis:"	Keratosis	MESH
MESH:D007690	"autosomal dominant polycystic kidney disease"	"Polycystic Kidney Diseases"	MESH
MESH:D007805	"speech delay"	"Language Development Disorders"	MESH
MESH:D007938	"acute leukemias"	Leukemia	MESH
MESH:D007938	"acute leukemias,"	Leukemia	MESH
MESH:D007938	leukemia	Leukemia	MESH
MESH:D007938	leukemia,	Leukemia	MESH
MESH:D007938	leukemia.	Leukemia	MESH
MESH:D007938	leukemias	Leukemia	MESH
MESH:D007938	"leukemias and lymphomas."	Leukemia	MESH
MESH:D007938	leukemias.	Leukemia	MESH
MESH:D007938	leukemic	Leukemia	MESH
MESH:D007938	"leukemic counterpart,"	Leukemia	MESH
MESH:D007951	"acute myelogenous leukemia,"	"Leukemia, Myeloid"	MESH
MESH:D007951	"acute myeloid leukemia"	"Leukemia, Myeloid"	MESH
MESH:D007951	"myeloid disorders"	"Leukemia, Myeloid"	MESH
MESH:D007951	"myeloid malignancies:"	"Leukemia, Myeloid"	MESH
MESH:D008103	cirrhosis	"Liver Cirrhosis"	MESH
MESH:D008107	"liver disease"	"Liver Diseases"	MESH
MESH:D008133	"hyperdiploidy achieved long-"	"Long QT Syndrome"	MESH
MESH:D008175	"lung cancer"	"Lung Neoplasms"	MESH
MESH:D008175	"lung cancer,"	"Lung Neoplasms"	MESH
MESH:D008175	"lung cancer."	"Lung Neoplasms"	MESH
MESH:D008175	"lung cancers"	"Lung Neoplasms"	MESH
MESH:D008175	"lung cancers."	"Lung Neoplasms"	MESH
MESH:D008175	"lung carcinoma"	"Lung Neoplasms"	MESH
MESH:D008223	"childhood lymphoid malignancies"	Lymphoma	MESH
MESH:D008223	"childhood lymphoid malignancies."	Lymphoma	MESH
MESH:D008223	"cutaneous lymphoid hyperplasia"	Lymphoma	MESH
MESH:D008223	"cutaneous lymphoid hyperplasia."	Lymphoma	MESH
MESH:D008223	"cutaneous lymphoid hyperplasia:"	Lymphoma	MESH
MESH:D008223	"epidermotropic type of cutaneous lymphoid hyperplasia:"	Lymphoma	MESH
MESH:D008223	"Lymphoid Neoplasms"	Lymphoma	MESH
MESH:D008223	lymphoma	Lymphoma	MESH
MESH:D008223	lymphoma,	Lymphoma	MESH
MESH:D008223	lymphoma.	Lymphoma	MESH
MESH:D008223	lymphomas	Lymphoma	MESH
MESH:D008223	lymphomas.	Lymphoma	MESH
MESH:D008223	lymphomat	Lymphoma	MESH
MESH:D008223	"malignant lymphomas"	Lymphoma	MESH
MESH:D008223	"systemic lymphoma."	Lymphoma	MESH
MESH:D008223	"Systemic malignant lymphoma"	Lymphoma	MESH
MESH:D008223	"systemic malignant lymphoma,"	Lymphoma	MESH
MESH:D008223	"systemic malignant lymphoma."	Lymphoma	MESH
MESH:D008228	"non-Hodgkin's lymphoma"	"Lymphoma, Non-Hodgkin"	MESH
MESH:D008228	"non-Hodgkin's lymphoma)"	"Lymphoma, Non-Hodgkin"	MESH
MESH:D008228	"non-Hodgkin's lymphoma."	"Lymphoma, Non-Hodgkin"	MESH
MESH:D008228	"poor prognosis non-Hodgkin's lymphoma"	"Lymphoma, Non-Hodgkin"	MESH
MESH:D008228	"poor prognosis non-Hodgkin's lymphoma."	"Lymphoma, Non-Hodgkin"	MESH
MESH:D008230	"lymphomatoid granulomatosis"	"Lymphomatoid Granulomatosis"	MESH
MESH:D008232	"lymphoproliferative disorders"	"Lymphoproliferative Disorders"	MESH
MESH:D008268	"macular degeneration"	"Macular Degeneration"	MESH
MESH:D008268	"macular degeneration."	"Macular Degeneration"	MESH
MESH:D008269	"cystoid macular edema"	"Macular Edema"	MESH
MESH:D008545	melanoma,	Melanoma	MESH
MESH:D008607	"mental retardation"	"Intellectual Disability"	MESH
MESH:D008607	"mental retardation."	"Intellectual Disability"	MESH
MESH:D008949	"Carcinoma ex pleomorphic adenoma"	"Adenoma, Pleomorphic"	MESH
MESH:D008949	"pleomorphic adenoma"	"Adenoma, Pleomorphic"	MESH
MESH:D008992	"cynomolgus monkey eyes"	"Monkey Diseases"	MESH
MESH:D009101	"multiple myeloma"	"Multiple Myeloma"	MESH
MESH:D009101	"multiple myeloma."	"Multiple Myeloma"	MESH
MESH:D009101	myeloma	"Multiple Myeloma"	MESH
MESH:D009101	myeloma.	"Multiple Myeloma"	MESH
MESH:D009134	"lower spinal muscular atrophy"	"Muscular Atrophy, Spinal"	MESH
MESH:D009134	"spinal muscular atrophy"	"Muscular Atrophy, Spinal"	MESH
MESH:D009134	"spinal muscular atrophy."	"Muscular Atrophy, Spinal"	MESH
MESH:D009135	myopathy	"Muscular Diseases"	MESH
MESH:D009135	myopathy,	"Muscular Diseases"	MESH
MESH:D009135	myopathy/	"Muscular Diseases"	MESH
MESH:D009136	dystrophic	"Muscular Dystrophies"	MESH
MESH:D009136	"dystrophic features,"	"Muscular Dystrophies"	MESH
MESH:D009182	"mycosis fungoides."	"Mycosis Fungoides"	MESH
MESH:D009190	"myelodysplastic syndromes"	"Myelodysplastic Syndromes"	MESH
MESH:D009203	"myocardial infarction,"	"Myocardial Infarction"	MESH
MESH:D009216	myopia	Myopia	MESH
MESH:D009216	"myopia and myopic choroidal neovascularisation"	Myopia	MESH
MESH:D009216	myopia.	Myopia	MESH
MESH:D009220	"inflammatory disorders"	Myositis	MESH
MESH:D009361	invasiveness	"Neoplasm Invasiveness"	MESH
MESH:D009361	"myometrial invasion,"	"Neoplasm Invasiveness"	MESH
MESH:D009369	-cancer	Neoplasms	MESH
MESH:D009369	"benign tumors."	Neoplasms	MESH
MESH:D009369	cancer	Neoplasms	MESH
MESH:D009369	cancer,	Neoplasms	MESH
MESH:D009369	cancer-	Neoplasms	MESH
MESH:D009369	cancer.	Neoplasms	MESH
MESH:D009369	cancers	Neoplasms	MESH
MESH:D009369	cancers,	Neoplasms	MESH
MESH:D009369	cancers.	Neoplasms	MESH
MESH:D009369	cancer]	Neoplasms	MESH
MESH:D009369	"childhood cancer"	Neoplasms	MESH
MESH:D009369	"childhood cancer."	Neoplasms	MESH
MESH:D009369	"disomic tumors,"	Neoplasms	MESH
MESH:D009369	"disorders and cancers"	Neoplasms	MESH
MESH:D009369	"hyperdiploid tumors"	Neoplasms	MESH
MESH:D009369	"hypertetrasomic tumors"	Neoplasms	MESH
MESH:D009369	"malignant neoplasms."	Neoplasms	MESH
MESH:D009369	"Malignant tumours"	Neoplasms	MESH
MESH:D009369	"metastatic tumor"	Neoplasms	MESH
MESH:D009369	neoplasm.	Neoplasms	MESH
MESH:D009369	non-tumorous	Neoplasms	MESH
MESH:D009369	"solid tumors"	Neoplasms	MESH
MESH:D009369	"stage D tumors"	Neoplasms	MESH
MESH:D009369	tumor	Neoplasms	MESH
MESH:D009369	tumor,	Neoplasms	MESH
MESH:D009369	tumor-	Neoplasms	MESH
MESH:D009369	tumor.	Neoplasms	MESH
MESH:D009369	tumori	Neoplasms	MESH
MESH:D009369	tumoro	Neoplasms	MESH
MESH:D009369	tumorous	Neoplasms	MESH
MESH:D009369	tumors	Neoplasms	MESH
MESH:D009369	tumors,	Neoplasms	MESH
MESH:D009369	tumors-	Neoplasms	MESH
MESH:D009369	tumors.	Neoplasms	MESH
MESH:D009369	tumour	Neoplasms	MESH
MESH:D009369	tumours	Neoplasms	MESH
MESH:D009385	neoplastic	"Neoplastic Processes"	MESH
MESH:D009396	Wilms,	"Wilms Tumor"	MESH
MESH:D009422	"neurological disorders."	"Nervous System Diseases"	MESH
MESH:D009447	"childhood neuroblastoma:"	Neuroblastoma	MESH
MESH:D009447	"IV-S neuroblastoma)"	Neuroblastoma	MESH
MESH:D009447	"IV-S neuroblastoma,"	Neuroblastoma	MESH
MESH:D009447	"IV-S neuroblastoma."	Neuroblastoma	MESH
MESH:D009447	"metastatic lesions of stage IV-S neuroblastoma."	Neuroblastoma	MESH
MESH:D009447	"metastatic neuroblastoma."	Neuroblastoma	MESH
MESH:D009447	neuroblastoma	Neuroblastoma	MESH
MESH:D009447	neuroblastoma,	Neuroblastoma	MESH
MESH:D009447	neuroblastoma.	Neuroblastoma	MESH
MESH:D009447	neuroblastoma:	Neuroblastoma	MESH
MESH:D009447	"Stage IV neuroblastoma)"	Neuroblastoma	MESH
MESH:D009765	obesity	Obesity	MESH
MESH:D009845	oligozoospermia	Oligospermia	MESH
MESH:D009877	"infectious endophthalmitis"	Endophthalmitis	MESH
MESH:D009886	"external ophthalmoplegia,"	Ophthalmoplegia	MESH
MESH:D010038	"otolaryngological anomalies,"	"Otorhinolaryngologic Diseases"	MESH
MESH:D010038	"otolaryngological or ophthalmic abnormality"	"Otorhinolaryngologic Diseases"	MESH
MESH:D010051	"kidney and ovarian carcinomas"	"Ovarian Neoplasms"	MESH
MESH:D010051	"malignant ovarian tumors-"	"Ovarian Neoplasms"	MESH
MESH:D010051	"ovarian cancer"	"Ovarian Neoplasms"	MESH
MESH:D010051	"ovarian cancer."	"Ovarian Neoplasms"	MESH
MESH:D010051	"ovarian tumors"	"Ovarian Neoplasms"	MESH
MESH:D010051	"ovarian tumors-"	"Ovarian Neoplasms"	MESH
MESH:D010051	"ovarian tumors."	"Ovarian Neoplasms"	MESH
MESH:D010051	"tumor stage of ovarian cancer."	"Ovarian Neoplasms"	MESH
MESH:D010051	"type of ovarian cancer"	"Ovarian Neoplasms"	MESH
MESH:D010190	"pancreatic cancer"	"Pancreatic Neoplasms"	MESH
MESH:D010190	"pancreatic cancer,"	"Pancreatic Neoplasms"	MESH
MESH:D010190	"pancreatic cancer."	"Pancreatic Neoplasms"	MESH
MESH:D010190	"pancreatic cancers"	"Pancreatic Neoplasms"	MESH
